dataset,comparison,n,mean_difference,cohen_dz,paired_t_p,wilcoxon_p
TVSum,Ours-Adaptive - CLIP-only,50,0.00903681216419152,0.16752491043739226,0.2418975652188706,0.23390506818826773
TVSum,Ours-Adaptive - Fixed-Fusion,50,-0.005734461280595844,-0.17193358595081873,0.22990354493829984,0.26043936484565566
TVSum,Ours-Adaptive - Visual-BiLSTM-Strict,50,0.008881425173922953,0.1429428329821545,0.3170973358001162,0.8856646154509445
SumMe,Ours-Adaptive - CLIP-only,25,-0.0029804463008592562,-0.04490860935871596,0.824235491859516,0.7173808884143212
SumMe,Ours-Adaptive - Fixed-Fusion,25,4.7847903655442444e-05,0.001730039369608567,0.9931697308783809,0.892738400944348
SumMe,Ours-Adaptive - Visual-BiLSTM-Strict,25,-0.023242201323180656,-0.19449944769988486,0.34050346521833896,0.5227810104666994
