metric,comparison,n_queries,mean_difference,cohen_dz,video_cluster_ci95_low,video_cluster_ci95_high,paired_t_p,wilcoxon_p,paired_t_holm_p
fscore,Ours-Nested-Intent-Selector - Adapter-Adaptive-no-Diversity,180,0.018593815968708145,0.33702074203575283,0.005322605072192841,0.03151754676510314,1.1136965537480379e-05,1.3453138900862723e-05,8.53486122288005e-05
fscore,Ours-Nested-Intent-Selector - Adaptive-no-Diversity,180,0.025129328405853073,0.23696241144385183,-0.031763520806078104,0.09633588033780624,0.0017405050812231548,0.006616479347826805,0.005832488442997229
fscore,Ours-Nested-Intent-Selector - CLIP-zero-shot,180,0.02316035052440404,0.22338388716794227,-0.032744682211780445,0.08781277399831632,0.0031136792334596,0.008796940816601356,0.0062273584669192
fscore,Ours-Nested-Intent-Selector - Concept-Adapter,180,0.01854539212758876,0.33777563347407336,0.005596651045583812,0.031202737986260422,1.0668576528600063e-05,1.5620849917981242e-05,8.53486122288005e-05
fscore,Ours-Nested-Intent-Selector - Concept-Adapter-MMR,180,0.016773734685274568,0.3087504519525683,0.003899492739978862,0.030097448076511227,5.293180586927595e-05,5.338192558969961e-05,0.0003175908352156557
fscore,Ours-Nested-Intent-Selector - Fixed-Fusion,180,0.02576766319996166,0.24097967751450244,-0.03154172839896406,0.09864091771305357,0.0014581221107493074,0.0060146492768984195,0.005832488442997229
fscore,Ours-Nested-Intent-Selector - Ours-Adapter-Fusion,180,0.01678514514760804,0.30828668244886775,0.0034553488423007244,0.030432158083051823,5.425761352953338e-05,6.228297705708956e-05,0.0003175908352156557
fscore,Ours-Nested-Intent-Selector - Uniform,180,-0.05132714692644592,-0.6173355682737108,-0.07551788974467363,-0.020279684902970087,2.738158070834475e-14,7.761985856938947e-13,2.4643422637510275e-13
fscore,Ours-Nested-Intent-Selector - Visual-BiLSTM,180,0.11701562980977881,0.9022054997956953,0.03135222474798411,0.20501766046494974,5.018264895187303e-25,6.2818817090197866e-21,5.0182648951873026e-24
fscore,Ours-Nested-Intent-Selector - ZeroShot-Fusion-MMR,180,0.0185500760221188,0.17954338805796322,-0.03633735462137817,0.08526477010127964,0.017018146875753377,0.05559800253718107,0.017018146875753377
exact_fscore,Ours-Nested-Intent-Selector - Adapter-Adaptive-no-Diversity,180,-0.0012619823097243616,-0.044989871231197846,-0.0033206580051902213,0.0006234038261039424,0.5468721062448965,0.451031519097273,1.0
exact_fscore,Ours-Nested-Intent-Selector - Adaptive-no-Diversity,180,0.015671700715541057,0.3514601608191725,-0.003413770971857865,0.030783926148351445,4.83838808377402e-06,1.2880367087383555e-05,3.870710467019216e-05
exact_fscore,Ours-Nested-Intent-Selector - CLIP-zero-shot,180,0.015322168898160259,0.3427467193010166,-0.0032551523129417314,0.03038534127109236,8.025667004741617e-06,3.310480862687221e-05,4.81540020284497e-05
exact_fscore,Ours-Nested-Intent-Selector - Concept-Adapter,180,-0.00147636429612361,-0.05378674069153273,-0.003707515450871196,0.00026721343050707067,0.4714667082600943,0.3656787285646871,1.0
exact_fscore,Ours-Nested-Intent-Selector - Concept-Adapter-MMR,180,-0.002284729152915009,-0.08116966451156077,-0.0034268554436445754,-0.001070198270364456,0.2776155137507577,0.22718354192111134,1.0
exact_fscore,Ours-Nested-Intent-Selector - Fixed-Fusion,180,0.01548049405762137,0.3468663555724119,-0.003713170506190716,0.030482875729339356,6.324964382100925e-06,1.7776486817428607e-05,4.4274750674706474e-05
exact_fscore,Ours-Nested-Intent-Selector - Ours-Adapter-Fusion,180,-0.0019759569000875337,-0.07080882442835426,-0.0032271395975538996,-0.0009476668501526425,0.3433931136856938,0.2731206122064085,1.0
exact_fscore,Ours-Nested-Intent-Selector - Uniform,180,0.020943335786056148,0.4770810404001084,-0.0005488449610928049,0.034139691805821104,1.314944308075022e-09,8.724122658166588e-09,1.1834498772675199e-08
exact_fscore,Ours-Nested-Intent-Selector - Visual-BiLSTM,180,0.026282122890420513,0.6506091892895771,0.010372713594402392,0.03436462253392263,1.7683514206216208e-15,1.3294183401136616e-13,1.7683514206216207e-14
exact_fscore,Ours-Nested-Intent-Selector - ZeroShot-Fusion-MMR,180,0.013974943800222255,0.3086493737730701,-0.005155159714793082,0.02981862808368316,5.321809954030692e-05,0.00024941466297521443,0.00026609049770153463
query_relevance_or,Ours-Nested-Intent-Selector - Adapter-Adaptive-no-Diversity,180,-0.06230234266802835,-0.4961966686367162,-0.10126190223354926,-0.03573623559539053,3.3002203206656875e-10,6.63194298269536e-14,5.681010036683785e-10
query_relevance_or,Ours-Nested-Intent-Selector - Adaptive-no-Diversity,180,0.252995472586129,0.9727281741280321,0.20744655860934932,0.2985443865629086,8.723531404906553e-28,1.2945878410949054e-24,4.361765702453277e-27
query_relevance_or,Ours-Nested-Intent-Selector - CLIP-zero-shot,180,0.25180779205758,0.9847150767041467,0.2081324876673714,0.2954830964477887,2.957360870179605e-28,8.800728102053372e-25,2.0701526091257235e-27
query_relevance_or,Ours-Nested-Intent-Selector - Concept-Adapter,180,-0.06293797583950095,-0.5014063037918454,-0.10195391313581822,-0.03634229620145113,2.2522220481503802e-10,3.0079525151255205e-14,5.681010036683785e-10
query_relevance_or,Ours-Nested-Intent-Selector - Concept-Adapter-MMR,180,-0.06327462103366335,-0.5038822711908781,-0.10272910693426783,-0.03642054346279699,1.8767694705750515e-10,1.6969148727967992e-14,5.681010036683785e-10
query_relevance_or,Ours-Nested-Intent-Selector - Fixed-Fusion,180,0.25476983738828135,0.9763833447528932,0.20868217054263566,0.3008575042339271,6.272559559160564e-28,8.048507305146512e-25,3.763535735496338e-27
query_relevance_or,Ours-Nested-Intent-Selector - Ours-Adapter-Fusion,180,-0.06368850823315106,-0.5076534527076486,-0.10412020813422534,-0.03581448285673638,1.420252509170946e-10,1.4644670872937334e-14,5.681010036683785e-10
query_relevance_or,Ours-Nested-Intent-Selector - Uniform,180,0.35735482197246726,1.4156854129487435,0.3318702915165411,0.40406859290580227,9.127266988592061e-45,4.9727451944932614e-30,9.12726698859206e-44
query_relevance_or,Ours-Nested-Intent-Selector - Visual-BiLSTM,180,0.39670861231114113,1.220685644204153,0.3514909854867408,0.4419262391355415,1.9661826278547826e-37,2.3061208065543586e-27,1.7695643650693044e-36
query_relevance_or,Ours-Nested-Intent-Selector - ZeroShot-Fusion-MMR,180,0.25398853863104165,0.9956735525840376,0.21140709419779188,0.2965699830642914,1.1000498403662752e-28,3.776024436840103e-25,8.800398722930202e-28
query_relevance_and,Ours-Nested-Intent-Selector - Adapter-Adaptive-no-Diversity,180,0.007762091614175125,0.25057154677528365,0.002802443035001174,0.013430660063884069,0.0009468823638938318,0.0007593710584447668,0.0011574870431840104
query_relevance_and,Ours-Nested-Intent-Selector - Adaptive-no-Diversity,180,0.06176477362636048,0.4465636665897179,0.037045528987880764,0.08648401826484017,1.1175572784718553e-08,2.0501092062426115e-10,8.940458227774842e-08
query_relevance_and,Ours-Nested-Intent-Selector - CLIP-zero-shot,180,0.06117794839936546,0.44492504848350684,0.03673253994249735,0.08562335685623357,1.2505811531525434e-08,2.6148465382119325e-10,8.940458227774842e-08
query_relevance_and,Ours-Nested-Intent-Selector - Concept-Adapter,180,0.007966255576780145,0.26118220918032053,0.0034085036410617807,0.013280596822946814,0.0005787435215920052,0.00024644341418726483,0.0011574870431840104
query_relevance_and,Ours-Nested-Intent-Selector - Concept-Adapter-MMR,180,0.008559266890080058,0.29081315306514327,0.004446793516560958,0.013136964863764014,0.0001350671712399985,0.00013275397225386644,0.000540268684959994
query_relevance_and,Ours-Nested-Intent-Selector - Fixed-Fusion,180,0.062088423008470214,0.44598039859846844,0.03673253994249735,0.08744430607444306,1.1632361881004938e-08,2.4462797799778173e-10,8.940458227774842e-08
query_relevance_and,Ours-Nested-Intent-Selector - Ours-Adapter-Fusion,180,0.008205932995652516,0.27013325531357746,0.0037961005402865865,0.012523849336506097,0.0003775318025571999,0.0008105100636452018,0.0011325954076715997
query_relevance_and,Ours-Nested-Intent-Selector - Uniform,180,0.07898177218840927,0.45512518185487194,0.04960876369327072,0.10835478068354781,6.184260740516292e-09,1.5605510135508603e-11,5.565834666464663e-08
query_relevance_and,Ours-Nested-Intent-Selector - Visual-BiLSTM,180,0.09440471734290075,0.4662846112531477,0.0620846526185537,0.12672478206724783,2.8307324644422957e-09,2.174831809006461e-12,2.8307324644422958e-08
query_relevance_and,Ours-Nested-Intent-Selector - ZeroShot-Fusion-MMR,180,0.06104481905414291,0.444068677757771,0.03591003384648978,0.08617960426179605,1.3261523087851435e-08,3.803158427558312e-10,8.940458227774842e-08
