dataset,video_key,method,fscore,selected_ratio,adaptive_semantic_weight
TVSum,video_1,Visual-BiLSTM-Strict,0.7085994658973969,0.14966499952816836,0.5966495875372917
TVSum,video_1,CLIP-only,0.6671252221739493,0.14994809851844862,0.5966495875372917
TVSum,video_1,Fixed-Fusion,0.6904184113654972,0.14928753420779467,0.5966495875372917
TVSum,video_1,Ours-Adaptive,0.6904184113654972,0.14928753420779467,0.5966495875372917
TVSum,video_2,Visual-BiLSTM-Strict,0.6251620261487879,0.14867747440273038,0.5910948179436146
TVSum,video_2,CLIP-only,0.5962547351161777,0.14995733788395904,0.5910948179436146
TVSum,video_2,Fixed-Fusion,0.6481422319763336,0.14995733788395904,0.5910948179436146
TVSum,video_2,Ours-Adaptive,0.6481422319763336,0.14995733788395904,0.5910948179436146
TVSum,video_3,Visual-BiLSTM-Strict,0.626049192183783,0.14972537270846709,0.5697293885634958
TVSum,video_3,CLIP-only,0.6767702179482901,0.14986803623653613,0.5697293885634958
TVSum,video_3,Fixed-Fusion,0.6767702179482901,0.14986803623653613,0.5697293885634958
TVSum,video_3,Ours-Adaptive,0.6767702179482901,0.14986803623653613,0.5697293885634958
TVSum,video_4,Visual-BiLSTM-Strict,0.5991352208997842,0.149375866851595,0.5659971077175964
TVSum,video_4,CLIP-only,0.580565740986167,0.14993065187239946,0.5659971077175964
TVSum,video_4,Fixed-Fusion,0.6188824763094393,0.1492371705963939,0.5659971077175964
TVSum,video_4,Ours-Adaptive,0.6188824763094393,0.1492371705963939,0.5659971077175964
TVSum,video_5,Visual-BiLSTM-Strict,0.7169275368540377,0.12954613766155695,0.5011291877578018
TVSum,video_5,CLIP-only,0.4909245979188489,0.1442741208295762,0.5011291877578018
TVSum,video_5,Fixed-Fusion,0.6608200251912633,0.1355575593627893,0.5011291877578018
TVSum,video_5,Ours-Adaptive,0.6496474536338922,0.14186955214908326,0.5011291877578018
TVSum,video_6,Visual-BiLSTM-Strict,0.6362731286320413,0.14910557336366456,0.41198871832122086
TVSum,video_6,CLIP-only,0.5665524485202504,0.1497259849033192,0.41198871832122086
TVSum,video_6,Fixed-Fusion,0.5904220358185506,0.148898769517113,0.41198871832122086
TVSum,video_6,Ours-Adaptive,0.6100548467103175,0.14993278874987076,0.41198871832122086
TVSum,video_7,Visual-BiLSTM-Strict,0.5907411759653616,0.14659803043867503,0.4645160158502858
TVSum,video_7,CLIP-only,0.6197856376374946,0.1495076096687556,0.4645160158502858
TVSum,video_7,Fixed-Fusion,0.6307076682907774,0.14726947179946284,0.4645160158502858
TVSum,video_7,Ours-Adaptive,0.6307076682907774,0.14726947179946284,0.4645160158502858
TVSum,video_8,Visual-BiLSTM-Strict,0.4585264031261058,0.14994934143870314,0.5035526385271374
TVSum,video_8,CLIP-only,0.49295834619021067,0.14873353596757852,0.5035526385271374
TVSum,video_8,Fixed-Fusion,0.512348094768031,0.1498480243161094,0.5035526385271374
TVSum,video_8,Ours-Adaptive,0.5143504571490343,0.1492401215805471,0.5035526385271374
TVSum,video_9,Visual-BiLSTM-Strict,0.6121264698811617,0.14992867332382312,0.5583839905801503
TVSum,video_9,CLIP-only,0.6540215127859357,0.14664764621968615,0.5583839905801503
TVSum,video_9,Fixed-Fusion,0.5719602872949942,0.14992867332382312,0.5583839905801503
TVSum,video_9,Ours-Adaptive,0.5558878725258897,0.14992867332382312,0.5583839905801503
TVSum,video_10,Visual-BiLSTM-Strict,0.48885723575592027,0.14918648310387986,0.5556187004579363
TVSum,video_10,CLIP-only,0.36409136267928555,0.14918648310387986,0.5556187004579363
TVSum,video_10,Fixed-Fusion,0.45718305172986523,0.14943679599499374,0.5556187004579363
TVSum,video_10,Ours-Adaptive,0.45718305172986523,0.14943679599499374,0.5556187004579363
TVSum,video_11,Visual-BiLSTM-Strict,0.7284271774705302,0.14829787234042552,0.6319681139320509
TVSum,video_11,CLIP-only,0.6795430661782056,0.14446808510638298,0.6319681139320509
TVSum,video_11,Fixed-Fusion,0.6479779705076192,0.14808510638297873,0.6319681139320509
TVSum,video_11,Ours-Adaptive,0.6479779705076192,0.14808510638297873,0.6319681139320509
TVSum,video_12,Visual-BiLSTM-Strict,0.7149003698156029,0.14950780845237213,0.548116829589589
TVSum,video_12,CLIP-only,0.6765342434789121,0.14987787728517504,0.548116829589589
TVSum,video_12,Fixed-Fusion,0.6587656710885589,0.14987787728517504,0.548116829589589
TVSum,video_12,Ours-Adaptive,0.6587656710885589,0.14987787728517504,0.548116829589589
TVSum,video_13,Visual-BiLSTM-Strict,0.35308835383405807,0.14949037372593432,0.6398165003457847
