method,n,fscore,exact_fscore,query_relevance_or,query_relevance_and
Uniform,180,0.4789372391306873,0.027049220744130634,0.20057135615880886,0.026663759219700146
Visual-BiLSTM,180,0.31059446239446253,0.02171043363976627,0.16121756582013502,0.011240814065208656
CLIP-zero-shot,180,0.4044497416798373,0.032670387632026524,0.3061183860736961,0.044467583008743955
CHAN,180,0.4500173027033268,0.020327963481213938,0.2045477895675545,0.0228219430982489
CHAN-MMR,180,0.45256631724008217,0.019627732509642656,0.20430732308162544,0.023304230763635154
FCSNA-QFVS-Controlled-Reproduction,180,0.4358204972325825,0.045291167835464316,0.2078652164692843,0.01832261656992776
Concept-Adapter-MMR,180,0.41083635751896674,0.05027728568310179,0.6212007991649395,0.09708626451802935
Ours-Nested-Intent-Selector,180,0.4276100922042413,0.04799255653018678,0.5579261781312762,0.10564553140810941
