dataset,method,n,fscore_mean,fscore_std,bootstrap_ci95_low,bootstrap_ci95_high,selected_ratio_mean
SumMe,CLIP-only,25,0.4162768929483617,0.12622143399406394,0.36874818315800045,0.4654150633023664,0.14575876169734056
SumMe,Fixed-Fusion,25,0.413248598743847,0.1323600513649665,0.3627596921256882,0.4643187102624809,0.14609138111569103
SumMe,Ours-Adaptive,25,0.4132964466475024,0.13598391301182594,0.36154238526756494,0.466003939483323,0.14609219554436575
SumMe,Visual-BiLSTM-Strict,25,0.43653864797068304,0.14186602249206426,0.38237857432345534,0.49124017085202804,0.14682777571806505
TVSum,CLIP-only,50,0.5903928177715092,0.08872677439476803,0.5658195457507483,0.6152157992130257,0.1485680206152028
TVSum,Fixed-Fusion,50,0.6051640912162964,0.08097344258506665,0.5826934202425414,0.6274084509245619,0.1485174904526597
TVSum,Ours-Adaptive,50,0.5994296299357006,0.08479565396337052,0.5753801638394955,0.6220928082950072,0.14853553267715955
TVSum,Visual-BiLSTM-Strict,50,0.5905482047617777,0.09807690072738949,0.5630497438700092,0.6169181777010108,0.14831703448735456
