dataset,video_key,setting,fscore
TVSum,video_5,fixed_alpha_0.5,0.6608200251912633
TVSum,video_5,fixed_alpha_0.6,0.6608200251912633
TVSum,video_5,fixed_alpha_0.7,0.4909245979188489
TVSum,video_5,fixed_alpha_0.8,0.4909245979188489
TVSum,video_5,fixed_alpha_0.9,0.4909245979188489
TVSum,video_5,fixed_alpha_1.0,0.4909245979188489
TVSum,video_5,adaptive_strength_0.0,0.4909245979188489
TVSum,video_5,adaptive_strength_0.1,0.4909245979188489
TVSum,video_5,adaptive_strength_0.2,0.4909245979188489
TVSum,video_5,adaptive_strength_0.3,0.4909245979188489
TVSum,video_5,adaptive_strength_0.4,0.4909245979188489
TVSum,video_5,adaptive_strength_0.5,0.4909245979188489
TVSum,video_5,adaptive_strength_0.6,0.4909245979188489
TVSum,video_5,adaptive_strength_0.7,0.4909245979188489
TVSum,video_5,adaptive_strength_0.8,0.4909245979188489
TVSum,video_5,adaptive_strength_0.9,0.4909245979188489
TVSum,video_5,adaptive_strength_1.0,0.4909245979188489
TVSum,video_6,fixed_alpha_0.0,0.5932024102187328
TVSum,video_6,fixed_alpha_0.1,0.5932024102187328
TVSum,video_6,fixed_alpha_0.2,0.5320620667628295
TVSum,video_6,fixed_alpha_0.3,0.562468669129413
TVSum,video_6,fixed_alpha_0.4,0.5665524485202504
TVSum,video_6,fixed_alpha_0.5,0.5665524485202504
TVSum,video_6,fixed_alpha_0.6,0.5665524485202504
TVSum,video_6,fixed_alpha_0.7,0.5665524485202504
TVSum,video_6,fixed_alpha_0.8,0.5665524485202504
TVSum,video_6,fixed_alpha_0.9,0.5665524485202504
TVSum,video_6,fixed_alpha_1.0,0.5665524485202504
TVSum,video_6,adaptive_strength_0.0,0.5665524485202504
TVSum,video_6,adaptive_strength_0.1,0.5665524485202504
TVSum,video_6,adaptive_strength_0.2,0.5665524485202504
TVSum,video_6,adaptive_strength_0.3,0.5665524485202504
TVSum,video_6,adaptive_strength_0.4,0.5665524485202504
TVSum,video_6,adaptive_strength_0.5,0.5665524485202504
TVSum,video_6,adaptive_strength_0.6,0.5665524485202504
TVSum,video_6,adaptive_strength_0.7,0.5665524485202504
TVSum,video_6,adaptive_strength_0.8,0.5665524485202504
TVSum,video_6,adaptive_strength_0.9,0.5665524485202504
TVSum,video_6,adaptive_strength_1.0,0.5665524485202504
TVSum,video_7,fixed_alpha_0.0,0.49331850073008654
TVSum,video_7,fixed_alpha_0.1,0.5769253547840316
TVSum,video_7,fixed_alpha_0.2,0.5881701308374743
TVSum,video_7,fixed_alpha_0.3,0.6197856376374946
TVSum,video_7,fixed_alpha_0.4,0.6197856376374946
TVSum,video_7,fixed_alpha_0.5,0.6197856376374946
TVSum,video_7,fixed_alpha_0.6,0.6197856376374946
TVSum,video_7,fixed_alpha_0.7,0.6197856376374946
TVSum,video_7,fixed_alpha_0.8,0.6197856376374946
TVSum,video_7,fixed_alpha_0.9,0.6197856376374946
TVSum,video_7,fixed_alpha_1.0,0.6197856376374946
TVSum,video_7,adaptive_strength_0.0,0.6197856376374946
TVSum,video_7,adaptive_strength_0.1,0.6197856376374946
TVSum,video_7,adaptive_strength_0.2,0.6197856376374946
TVSum,video_7,adaptive_strength_0.3,0.6197856376374946
TVSum,video_7,adaptive_strength_0.4,0.6197856376374946
TVSum,video_7,adaptive_strength_0.5,0.6197856376374946
TVSum,video_7,adaptive_strength_0.6,0.6197856376374946
TVSum,video_7,adaptive_strength_0.7,0.6197856376374946
TVSum,video_7,adaptive_strength_0.8,0.6197856376374946
TVSum,video_7,adaptive_strength_0.9,0.6197856376374946
TVSum,video_7,adaptive_strength_1.0,0.6197856376374946
TVSum,video_8,fixed_alpha_0.0,0.47426648992505827
TVSum,video_8,fixed_alpha_0.1,0.49480155332095477
TVSum,video_8,fixed_alpha_0.2,0.5114779817561218
TVSum,video_8,fixed_alpha_0.3,0.512348094768031
TVSum,video_8,fixed_alpha_0.4,0.512348094768031
TVSum,video_8,fixed_alpha_0.5,0.512348094768031
TVSum,video_8,fixed_alpha_0.6,0.512348094768031
TVSum,video_8,fixed_alpha_0.7,0.512348094768031
TVSum,video_8,fixed_alpha_0.8,0.512348094768031
TVSum,video_8,fixed_alpha_0.9,0.49295834619021067
TVSum,video_8,fixed_alpha_1.0,0.49295834619021067
TVSum,video_8,adaptive_strength_0.0,0.49295834619021067
TVSum,video_8,adaptive_strength_0.1,0.49295834619021067
TVSum,video_8,adaptive_strength_0.2,0.49295834619021067
TVSum,video_8,adaptive_strength_0.3,0.49295834619021067
TVSum,video_8,adaptive_strength_0.4,0.512348094768031
TVSum,video_8,adaptive_strength_0.5,0.512348094768031
TVSum,video_8,adaptive_strength_0.6,0.512348094768031
TVSum,video_8,adaptive_strength_0.7,0.512348094768031
TVSum,video_8,adaptive_strength_0.8,0.512348094768031
TVSum,video_8,adaptive_strength_0.9,0.512348094768031
TVSum,video_8,adaptive_strength_1.0,0.512348094768031
TVSum,video_9,fixed_alpha_0.0,0.5656278436327621
TVSum,video_9,fixed_alpha_0.1,0.6429702958948409
TVSum,video_9,fixed_alpha_0.2,0.6540215127859357
TVSum,video_9,fixed_alpha_0.3,0.6540215127859357
TVSum,video_9,fixed_alpha_0.4,0.6540215127859357
TVSum,video_9,fixed_alpha_0.5,0.6540215127859357
TVSum,video_9,fixed_alpha_0.6,0.6540215127859357
TVSum,video_9,fixed_alpha_0.7,0.6540215127859357
TVSum,video_9,fixed_alpha_0.8,0.6540215127859357
TVSum,video_9,fixed_alpha_0.9,0.6540215127859357
TVSum,video_9,fixed_alpha_1.0,0.6540215127859357
TVSum,video_9,adaptive_strength_0.0,0.6540215127859357
TVSum,video_9,adaptive_strength_0.1,0.6540215127859357
TVSum,video_9,adaptive_strength_0.2,0.6540215127859357
TVSum,video_9,adaptive_strength_0.3,0.6540215127859357
TVSum,video_9,adaptive_strength_0.4,0.6540215127859357
TVSum,video_9,adaptive_strength_0.5,0.6540215127859357
TVSum,video_9,adaptive_strength_0.6,0.6540215127859357
TVSum,video_9,adaptive_strength_0.7,0.6540215127859357
TVSum,video_9,adaptive_strength_0.8,0.6540215127859357
TVSum,video_9,adaptive_strength_0.9,0.6540215127859357
TVSum,video_9,adaptive_strength_1.0,0.6540215127859357
TVSum,video_10,fixed_alpha_0.0,0.43447120659355065
TVSum,video_10,fixed_alpha_0.1,0.48969476873986906
TVSum,video_10,fixed_alpha_0.2,0.4187224645589242
TVSum,video_10,fixed_alpha_0.3,0.4187224645589242
TVSum,video_10,fixed_alpha_0.4,0.3839188359127096
TVSum,video_10,fixed_alpha_0.5,0.3839188359127096
TVSum,video_10,fixed_alpha_0.6,0.3839188359127096
TVSum,video_10,fixed_alpha_0.7,0.3839188359127096
TVSum,video_10,fixed_alpha_0.8,0.3839188359127096
TVSum,video_10,fixed_alpha_0.9,0.36409136267928555
TVSum,video_10,fixed_alpha_1.0,0.36409136267928555
TVSum,video_10,adaptive_strength_0.0,0.36409136267928555
TVSum,video_10,adaptive_strength_0.1,0.36409136267928555
TVSum,video_10,adaptive_strength_0.2,0.36409136267928555
TVSum,video_10,adaptive_strength_0.3,0.36409136267928555
TVSum,video_10,adaptive_strength_0.4,0.36409136267928555
TVSum,video_10,adaptive_strength_0.5,0.3839188359127096
TVSum,video_10,adaptive_strength_0.6,0.3839188359127096
TVSum,video_10,adaptive_strength_0.7,0.3839188359127096
TVSum,video_10,adaptive_strength_0.8,0.3839188359127096
TVSum,video_10,adaptive_strength_0.9,0.3839188359127096
TVSum,video_10,adaptive_strength_1.0,0.3839188359127096
TVSum,video_11,fixed_alpha_0.0,0.6432176432011041
TVSum,video_11,fixed_alpha_0.1,0.7441030116724258
TVSum,video_11,fixed_alpha_0.2,0.7441030116724258
TVSum,video_11,fixed_alpha_0.3,0.7441030116724258
TVSum,video_11,fixed_alpha_0.4,0.7441030116724258
TVSum,video_11,fixed_alpha_0.5,0.6431514799713665
TVSum,video_11,fixed_alpha_0.6,0.6431514799713665
TVSum,video_11,fixed_alpha_0.7,0.6431514799713665
TVSum,video_11,fixed_alpha_0.8,0.6431514799713665
TVSum,video_11,fixed_alpha_0.9,0.6431514799713665
TVSum,video_11,fixed_alpha_1.0,0.6795430661782056
TVSum,video_11,adaptive_strength_0.0,0.6795430661782056
TVSum,video_11,adaptive_strength_0.1,0.6431514799713665
TVSum,video_11,adaptive_strength_0.2,0.6431514799713665
TVSum,video_11,adaptive_strength_0.3,0.6431514799713665
TVSum,video_11,adaptive_strength_0.4,0.6431514799713665
TVSum,video_11,adaptive_strength_0.5,0.6431514799713665
TVSum,video_11,adaptive_strength_0.6,0.6431514799713665
TVSum,video_11,adaptive_strength_0.7,0.6431514799713665
TVSum,video_11,adaptive_strength_0.8,0.6431514799713665
TVSum,video_11,adaptive_strength_0.9,0.6431514799713665
TVSum,video_11,adaptive_strength_1.0,0.6431514799713665
TVSum,video_12,fixed_alpha_0.0,0.6244411290970028
TVSum,video_12,fixed_alpha_0.1,0.6604968159751191
TVSum,video_12,fixed_alpha_0.2,0.6604968159751191
TVSum,video_12,fixed_alpha_0.3,0.6662139934918587
TVSum,video_12,fixed_alpha_0.4,0.6662139934918587
TVSum,video_12,fixed_alpha_0.5,0.6946756445278022
TVSum,video_12,fixed_alpha_0.6,0.6946756445278022
TVSum,video_12,fixed_alpha_0.7,0.6661402876723729
TVSum,video_12,fixed_alpha_0.8,0.6661402876723729
TVSum,video_12,fixed_alpha_0.9,0.6765342434789121
TVSum,video_12,fixed_alpha_1.0,0.6765342434789121
TVSum,video_12,adaptive_strength_0.0,0.6765342434789121
TVSum,video_12,adaptive_strength_0.1,0.6765342434789121
TVSum,video_12,adaptive_strength_0.2,0.6765342434789121
TVSum,video_12,adaptive_strength_0.3,0.6765342434789121
TVSum,video_12,adaptive_strength_0.4,0.6661402876723729
TVSum,video_12,adaptive_strength_0.5,0.6661402876723729
TVSum,video_12,adaptive_strength_0.6,0.6661402876723729
TVSum,video_12,adaptive_strength_0.7,0.6661402876723729
TVSum,video_12,adaptive_strength_0.8,0.6661402876723729
TVSum,video_12,adaptive_strength_0.9,0.6661402876723729
TVSum,video_12,adaptive_strength_1.0,0.6946756445278022
TVSum,video_13,fixed_alpha_0.0,0.45482249206183756
TVSum,video_13,fixed_alpha_0.1,0.5593145862506109
TVSum,video_13,fixed_alpha_0.2,0.5585670387647929
TVSum,video_13,fixed_alpha_0.3,0.5585670387647929
TVSum,video_13,fixed_alpha_0.4,0.5585670387647929
TVSum,video_13,fixed_alpha_0.5,0.5585670387647929
TVSum,video_13,fixed_alpha_0.6,0.5585670387647929
TVSum,video_13,fixed_alpha_0.7,0.5585670387647929
TVSum,video_13,fixed_alpha_0.8,0.5585670387647929
TVSum,video_13,fixed_alpha_0.9,0.5585670387647929
TVSum,video_13,fixed_alpha_1.0,0.5585670387647929
TVSum,video_13,adaptive_strength_0.0,0.5585670387647929
TVSum,video_13,adaptive_strength_0.1,0.5585670387647929
TVSum,video_13,adaptive_strength_0.2,0.5585670387647929
TVSum,video_13,adaptive_strength_0.3,0.5585670387647929
TVSum,video_13,adaptive_strength_0.4,0.5585670387647929
TVSum,video_13,adaptive_strength_0.5,0.5585670387647929
TVSum,video_13,adaptive_strength_0.6,0.5585670387647929
TVSum,video_13,adaptive_strength_0.7,0.5585670387647929
TVSum,video_13,adaptive_strength_0.8,0.5585670387647929
TVSum,video_13,adaptive_strength_0.9,0.5585670387647929
TVSum,video_13,adaptive_strength_1.0,0.5585670387647929
TVSum,video_14,fixed_alpha_0.0,0.43371959738177085
TVSum,video_14,fixed_alpha_0.1,0.5056768271417587
TVSum,video_14,fixed_alpha_0.2,0.5076337477172367
TVSum,video_14,fixed_alpha_0.3,0.5465213523335827
TVSum,video_14,fixed_alpha_0.4,0.5465213523335827
TVSum,video_14,fixed_alpha_0.5,0.5465213523335827
TVSum,video_14,fixed_alpha_0.6,0.5465213523335827
TVSum,video_14,fixed_alpha_0.7,0.5465213523335827
TVSum,video_14,fixed_alpha_0.8,0.5465213523335827
TVSum,video_14,fixed_alpha_0.9,0.5465213523335827
TVSum,video_14,fixed_alpha_1.0,0.5465213523335827
TVSum,video_14,adaptive_strength_0.0,0.5465213523335827
TVSum,video_14,adaptive_strength_0.1,0.5465213523335827
TVSum,video_14,adaptive_strength_0.2,0.5465213523335827
TVSum,video_14,adaptive_strength_0.3,0.5465213523335827
TVSum,video_14,adaptive_strength_0.4,0.5465213523335827
TVSum,video_14,adaptive_strength_0.5,0.5465213523335827
TVSum,video_14,adaptive_strength_0.6,0.5465213523335827
TVSum,video_14,adaptive_strength_0.7,0.5465213523335827
TVSum,video_14,adaptive_strength_0.8,0.5465213523335827
TVSum,video_14,adaptive_strength_0.9,0.5465213523335827
TVSum,video_14,adaptive_strength_1.0,0.5465213523335827
TVSum,video_15,fixed_alpha_0.0,0.4838526739849935
TVSum,video_15,fixed_alpha_0.1,0.5821804793770055
TVSum,video_15,fixed_alpha_0.2,0.5821804793770055
TVSum,video_15,fixed_alpha_0.3,0.5821804793770055
TVSum,video_15,fixed_alpha_0.4,0.5821804793770055
TVSum,video_15,fixed_alpha_0.5,0.5821804793770055
TVSum,video_15,fixed_alpha_0.6,0.6172214357261676
TVSum,video_15,fixed_alpha_0.7,0.6172214357261676
TVSum,video_15,fixed_alpha_0.8,0.6172214357261676
TVSum,video_15,fixed_alpha_0.9,0.6172214357261676
TVSum,video_15,fixed_alpha_1.0,0.6172214357261676
TVSum,video_15,adaptive_strength_0.0,0.6172214357261676
TVSum,video_15,adaptive_strength_0.1,0.6172214357261676
TVSum,video_15,adaptive_strength_0.2,0.6172214357261676
TVSum,video_15,adaptive_strength_0.3,0.6172214357261676
TVSum,video_15,adaptive_strength_0.4,0.6172214357261676
TVSum,video_15,adaptive_strength_0.5,0.6172214357261676
TVSum,video_15,adaptive_strength_0.6,0.6172214357261676
TVSum,video_15,adaptive_strength_0.7,0.6172214357261676
TVSum,video_15,adaptive_strength_0.8,0.6172214357261676
TVSum,video_15,adaptive_strength_0.9,0.6172214357261676
TVSum,video_15,adaptive_strength_1.0,0.6172214357261676
TVSum,video_16,fixed_alpha_0.0,0.6184153045882033
TVSum,video_16,fixed_alpha_0.1,0.6425095355212249
TVSum,video_16,fixed_alpha_0.2,0.6425095355212249
TVSum,video_16,fixed_alpha_0.3,0.6425095355212249
TVSum,video_16,fixed_alpha_0.4,0.6425095355212249
TVSum,video_16,fixed_alpha_0.5,0.6425095355212249
TVSum,video_16,fixed_alpha_0.6,0.6224151473650678
TVSum,video_16,fixed_alpha_0.7,0.6224151473650678
TVSum,video_16,fixed_alpha_0.8,0.6224151473650678
TVSum,video_16,fixed_alpha_0.9,0.6224151473650678
TVSum,video_16,fixed_alpha_1.0,0.6224151473650678
TVSum,video_16,adaptive_strength_0.0,0.6224151473650678
TVSum,video_16,adaptive_strength_0.1,0.6224151473650678
TVSum,video_16,adaptive_strength_0.2,0.6224151473650678
TVSum,video_16,adaptive_strength_0.3,0.6224151473650678
TVSum,video_16,adaptive_strength_0.4,0.6224151473650678
TVSum,video_16,adaptive_strength_0.5,0.6224151473650678
TVSum,video_16,adaptive_strength_0.6,0.6224151473650678
TVSum,video_16,adaptive_strength_0.7,0.6224151473650678
TVSum,video_16,adaptive_strength_0.8,0.6224151473650678
TVSum,video_16,adaptive_strength_0.9,0.6224151473650678
TVSum,video_16,adaptive_strength_1.0,0.6224151473650678
TVSum,video_17,fixed_alpha_0.0,0.549942629801449
TVSum,video_17,fixed_alpha_0.1,0.6502798772151727
TVSum,video_17,fixed_alpha_0.2,0.6362484130285397
TVSum,video_17,fixed_alpha_0.3,0.6362484130285397
TVSum,video_17,fixed_alpha_0.4,0.6362484130285397
TVSum,video_17,fixed_alpha_0.5,0.6479599983495946
TVSum,video_17,fixed_alpha_0.6,0.6479599983495946
TVSum,video_17,fixed_alpha_0.7,0.6389850875905608
TVSum,video_17,fixed_alpha_0.8,0.6389850875905608
TVSum,video_17,fixed_alpha_0.9,0.6389850875905608
TVSum,video_17,fixed_alpha_1.0,0.6389850875905608
TVSum,video_17,adaptive_strength_0.0,0.6389850875905608
TVSum,video_17,adaptive_strength_0.1,0.6389850875905608
TVSum,video_17,adaptive_strength_0.2,0.6389850875905608
TVSum,video_17,adaptive_strength_0.3,0.6389850875905608
TVSum,video_17,adaptive_strength_0.4,0.6389850875905608
TVSum,video_17,adaptive_strength_0.5,0.6389850875905608
TVSum,video_17,adaptive_strength_0.6,0.6389850875905608
TVSum,video_17,adaptive_strength_0.7,0.6389850875905608
TVSum,video_17,adaptive_strength_0.8,0.6389850875905608
TVSum,video_17,adaptive_strength_0.9,0.6389850875905608
TVSum,video_17,adaptive_strength_1.0,0.6389850875905608
TVSum,video_18,fixed_alpha_0.0,0.6876358154506595
TVSum,video_18,fixed_alpha_0.1,0.6876358154506595
TVSum,video_18,fixed_alpha_0.2,0.6984857334375963
TVSum,video_18,fixed_alpha_0.3,0.6984857334375963
TVSum,video_18,fixed_alpha_0.4,0.7356567057427317
TVSum,video_18,fixed_alpha_0.5,0.6931256562747559
TVSum,video_18,fixed_alpha_0.6,0.6931256562747559
TVSum,video_18,fixed_alpha_0.7,0.6931256562747559
TVSum,video_18,fixed_alpha_0.8,0.6931256562747559
TVSum,video_18,fixed_alpha_0.9,0.6931256562747559
TVSum,video_18,fixed_alpha_1.0,0.712865611550512
TVSum,video_18,adaptive_strength_0.0,0.712865611550512
TVSum,video_18,adaptive_strength_0.1,0.6931256562747559
TVSum,video_18,adaptive_strength_0.2,0.6931256562747559
TVSum,video_18,adaptive_strength_0.3,0.6931256562747559
TVSum,video_18,adaptive_strength_0.4,0.6931256562747559
TVSum,video_18,adaptive_strength_0.5,0.6931256562747559
TVSum,video_18,adaptive_strength_0.6,0.6931256562747559
TVSum,video_18,adaptive_strength_0.7,0.6931256562747559
TVSum,video_18,adaptive_strength_0.8,0.6931256562747559
TVSum,video_18,adaptive_strength_0.9,0.6931256562747559
TVSum,video_18,adaptive_strength_1.0,0.6931256562747559
TVSum,video_19,fixed_alpha_0.0,0.5876040918219819
TVSum,video_19,fixed_alpha_0.1,0.5876040918219819
TVSum,video_19,fixed_alpha_0.2,0.6281456711954949
TVSum,video_19,fixed_alpha_0.3,0.6281456711954949
TVSum,video_19,fixed_alpha_0.4,0.6281456711954949
TVSum,video_19,fixed_alpha_0.5,0.6281456711954949
TVSum,video_19,fixed_alpha_0.6,0.6675836539590188
TVSum,video_19,fixed_alpha_0.7,0.6644275921327495
TVSum,video_19,fixed_alpha_0.8,0.6644275921327495
TVSum,video_19,fixed_alpha_0.9,0.6663862175681855
