video,query_id,method,true_or,wrong_mean_or,margin_or,discrimination_auc_or,true_and,wrong_mean_and,margin_and,discrimination_auc_and
P01,Book_Street,Uniform,0.12727272727272726,0.21115702479338844,-0.08388429752066118,0.5568181818181818,0.0,0.036776859504132224,-0.036776859504132224,0.3522727272727273
P01,Book_Street,Visual-BiLSTM,0.34545454545454546,0.18553719008264463,0.15991735537190083,0.9090909090909091,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Book_Street,CLIP-zero-shot,0.38181818181818183,0.21280991735537189,0.16900826446280995,0.8409090909090909,0.0,0.022727272727272728,-0.022727272727272728,0.36363636363636365
P01,Book_Street,Concept-Adapter-MMR,0.8727272727272727,0.2880165289256198,0.5847107438016529,0.8295454545454546,0.0,0.04214876033057851,-0.04214876033057851,0.45454545454545453
P01,Book_Sun,Uniform,0.03636363636363636,0.21322314049586774,-0.1768595041322314,0.125,0.0,0.036776859504132224,-0.036776859504132224,0.3522727272727273
P01,Book_Sun,Visual-BiLSTM,0.2727272727272727,0.1871900826446281,0.0855371900826446,0.8068181818181818,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Book_Sun,CLIP-zero-shot,0.2909090909090909,0.19545454545454544,0.09545454545454546,0.7386363636363636,0.0,0.019421487603305785,-0.019421487603305785,0.3409090909090909
P01,Book_Sun,Concept-Adapter-MMR,0.6,0.18801652892561982,0.41198347107438016,0.9090909090909091,0.0,0.021900826446280993,-0.021900826446280993,0.38636363636363635
P01,Book_Tree,Uniform,0.09090909090909091,0.21198347107438015,-0.12107438016528924,0.3977272727272727,0.0,0.036776859504132224,-0.036776859504132224,0.3522727272727273
P01,Book_Tree,Visual-BiLSTM,0.34545454545454546,0.18553719008264463,0.15991735537190083,0.9090909090909091,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Book_Tree,CLIP-zero-shot,0.36363636363636365,0.19710743801652894,0.1665289256198347,0.875,0.0,0.020661157024793386,-0.020661157024793386,0.3522727272727273
P01,Book_Tree,Concept-Adapter-MMR,0.9454545454545454,0.27851239669421485,0.6669421487603306,0.9204545454545454,0.0,0.04049586776859504,-0.04049586776859504,0.4659090909090909
P01,Building_Petsanimal,Uniform,0.14545454545454545,0.21074380165289253,-0.06528925619834708,0.6022727272727273,0.0,0.036776859504132224,-0.036776859504132224,0.3522727272727273
P01,Building_Petsanimal,Visual-BiLSTM,0.14545454545454545,0.19008264462809918,-0.04462809917355373,0.5,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Building_Petsanimal,CLIP-zero-shot,0.12727272727272726,0.18801652892561982,-0.06074380165289256,0.5454545454545454,0.0,0.02024793388429752,-0.02024793388429752,0.36363636363636365
P01,Building_Petsanimal,Concept-Adapter-MMR,0.7636363636363637,0.2504132231404959,0.5132231404958678,0.8863636363636364,0.0,0.03264462809917356,-0.03264462809917356,0.4431818181818182
P01,Car_Petsanimal,Uniform,0.09090909090909091,0.21198347107438015,-0.12107438016528924,0.3977272727272727,0.0,0.036776859504132224,-0.036776859504132224,0.3522727272727273
P01,Car_Petsanimal,Visual-BiLSTM,0.14545454545454545,0.19008264462809918,-0.04462809917355373,0.5,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Car_Petsanimal,CLIP-zero-shot,0.32727272727272727,0.2016528925619835,0.12561983471074378,0.8409090909090909,0.0,0.017355371900826446,-0.017355371900826446,0.38636363636363635
P01,Car_Petsanimal,Concept-Adapter-MMR,1.0,0.27892561983471076,0.7210743801652892,1.0,0.0,0.03884297520661157,-0.03884297520661157,0.45454545454545453
P01,Chair_Desk,Uniform,0.45454545454545453,0.2037190082644628,0.2508264462809917,0.8636363636363636,0.14545454545454545,0.033471074380165285,0.11198347107438017,0.9318181818181818
P01,Chair_Desk,Visual-BiLSTM,0.23636363636363636,0.18801652892561982,0.04834710743801654,0.7272727272727273,0.09090909090909091,0.013636363636363636,0.07727272727272727,0.9318181818181818
P01,Chair_Desk,CLIP-zero-shot,0.4909090909090909,0.17603305785123968,0.3148760330578512,0.9204545454545454,0.2,0.013223140495867768,0.18677685950413225,1.0
P01,Chair_Desk,Concept-Adapter-MMR,0.6909090909090909,0.30454545454545456,0.38636363636363635,0.8181818181818182,0.2545454545454545,0.08719008264462809,0.16735537190082644,0.8409090909090909
