method,n_queries,n_videos,margin_or_mean,margin_or_cluster_ci_low,margin_or_cluster_ci_high,discrimination_auc_or_mean,discrimination_auc_or_cluster_ci_low,discrimination_auc_or_cluster_ci_high,margin_and_mean,margin_and_cluster_ci_low,margin_and_cluster_ci_high,discrimination_auc_and_mean,discrimination_auc_and_cluster_ci_low,discrimination_auc_and_cluster_ci_high,discrimination_auc_or_query_wilcoxon_p_exploratory,discrimination_auc_and_query_wilcoxon_p_exploratory
Concept-Adapter-MMR,180,4,0.3864400956367732,0.3438650931463974,0.4290150981271489,0.7906565656565656,0.7690656565656566,0.8122474747474747,0.0669671638773861,0.04570351401337317,0.09054459447225131,0.5760732323232323,0.5736111111111111,0.5791666666666667,1.9808651545777885e-24,0.057559892798190355
Ours-Nested-Intent-Selector,180,4,0.32367899795826066,0.2850883548885514,0.36632004981320054,0.7614267676767675,0.7458333333333333,0.7770202020202019,0.07634384732739494,0.054886897140418264,0.0978007975143716,0.577020202020202,0.5666666666666667,0.5874368686868686,1.199932365483077e-21,0.03341315865903395
CLIP-zero-shot,180,4,0.10422278918983159,0.04302883163099254,0.18197170962426254,0.6056818181818182,0.5441287878787878,0.6936237373737374,0.022932775870704348,0.009110154214340978,0.04127111714907481,0.5302398989898991,0.522979797979798,0.5375,4.233955782233041e-06,0.6993020232258924
Uniform,180,4,-1.0793834961633467e-17,-2.6676192119465568e-17,-2.7755575615628915e-18,0.5,0.5,0.5,-1.1950317278951338e-18,-3.642919299551295e-18,3.450172246664983e-18,0.5000000000000001,0.5,0.5,0.9965799053330486,0.5896959135872561
Visual-BiLSTM,180,4,-1.5419764230904951e-18,-3.23815048849004e-18,2.7755575615628915e-18,0.5,0.5,0.5,4.336808689942018e-19,-1.5335437395267192e-18,8.384496800554569e-19,0.5,0.5,0.5,0.9180309257906877,0.0020354625307552935
CHAN-MMR,180,4,0.0016261285268894202,-0.0007087332545897976,0.0055972552423361735,0.49722222222222223,0.48232323232323226,0.505429292929293,-0.0015600645663770797,-0.003962168676249594,0.0005330904855962166,0.49955808080808073,0.4961489898989899,0.5029040404040404,0.9061764082718553,0.4729283459914899
